factory_Name,camid,channel,bypass,area_threshold,time_threshold,do_saturation,saturation_threshold,do_brightness,brightness_threshold
久發環保,5071930203,2,False,0,0,False,170,False,45
久發環保,5071930203,3,False,0,0,False,170,False,45
久發環保,5071930202,2,False,0,0,False,170,False,45
博威特,5005373915,2,False,0,0,False,170,False,45
博威特,5005373911,3,False,0,0,False,170,False,45
可百勝,5041527102,2,False,0.022,60,True,100,True,45
大南方,5071920502,2,False,0,0,False,170,False,45
大南方,5071920502,4,False,0,0,False,170,False,45
大東方,5005198304,2,False,0,0,False,170,False,45
大東方,5005198303,2,False,0,0,False,170,False,45
宏青,5071922112,1,False,0,0,False,170,False,45
宏青,5071922112,3,False,0,0,False,170,False,45
弘光,5071927717,3,False,0,0,False,170,False,45
弘光,5071927717,4,False,0,0,False,170,False,45
弘光,5071927718,1,False,0,0,False,170,False,45
惠嘉電,5041528203,1,False,0.007,60,False,170,False,45
惠嘉電,5041528203,2,False,0.015,60,False,170,False,45
惠嘉電,5041528204,1,False,0.015,60,False,170,False,45
惠嘉電,5041528204,3,False,0.015,60,False,170,False,45
漢林,5071900702,1,False,0,0,False,170,False,45
漢林,5071900702,2,False,0,0,False,170,False,45
漢林,5071900714,2,False,0,0,False,170,False,45
瑞原,5041521402,4,False,0.01,60,False,170,False,45
瑞原,5041521403,2,False,0.01,60,False,170,False,45
瑞原,5041521403,3,False,0.01,60,False,170,False,45
綠建,5071921002,1,True,0.022,60,False,170,False,45
綠建,5071921002,2,True,0.022,60,False,170,False,45
綠建,5071921002,3,True,0.022,110,False,170,False,45
綠建,5071921002,4,True,0.022,110,False,170,False,45
綠建,5071921003,1,True,0.022,60,False,170,False,45
綠建,5071921003,2,True,0.022,60,False,170,False,45
綠環境,5005056005,1,False,1,1,True,50,True,125
綠環境,5005056017,1,False,0,0,False,170,False,45
綠環境,5005056001,1,False,0,0,False,170,False,45
綠電,5004517211,2,False,0.0075,60,False,170,False,45
綠電,5004517211,4,False,0.0075,60,False,170,False,45
綠電,5004517214,4,False,0.0075,60,False,170,False,45
聯榮,5072141801,4,False,0,0,False,170,False,45
聯榮,5072141805,3,False,0,0,False,170,False,45
