項目,受補貼機構,日期,時間,鏡頭編號,異常時間點
冷煤,久發,2023/5/3,09:00:00,5071930203,"09:10:33,09:32:39"
冷煤,久發,2023/5/3,10:00:00,5071930203,10:48:52
冷煤,久發,2023/5/3,11:00:00,5071930203,11:57:41
冷煤,久發,2023/5/3,13:00:00,5071930203,13:17:37
冷煤,久發,2023/5/3,14:00:00,5071930203,"14:13:13,14:20:07"
冷煤,久發,2023/5/3,15:00:00,5071930203,"15:20:51,15:22:21,15:42:33"
冷煤,久發,2023/5/3,16:00:00,5071930203,16:08:00
冷煤,久發,2023/5/4,13:00:00,5071930203,"13:16:43,13:47:17,13:47:25"
冷煤,久發,2023/5/4,14:00:00,5071930203,"14:38:53,14:46:58,14:53:04"
冷煤,久發,2023/5/4,15:00:00,5071930203,"15:21:39,15:52:45"
冷煤,久發,2023/5/8,08:00:00,5071930202,"08:00:35,08:01:27,08:01:36,08:01:39,08:01:47,08:02:33,08:03:50,08:03:57,08:04:19,08:05:22,08:05:51,08:06:45,08:07:02,08:08:12,08:08:15,08:08:37,08:08:59,08:10:35,08:11:59,08:12:40,08:12:55,08:13:18,08:13:24,08:13:41,08:14:43,08:15:57,08:17:02,08:18:07,08:18:45,08:22:07,08:22:10,08:22:42,08:22:58,08:25:48,08:26:15,08:27:27,08:29:48,08:35:13,08:35:27,08:38:30,08:38:51,08:43:14,08:44:09,08:46:17,08:46:21,08:47:21,08:47:39,08:48:16,08:50:23,08:50:38,08:51:21,08:51:58,08:52:07,08:52:10,08:52:15,08:52:22,08:52:25,08:53:11,08:54:01,08:54:05,08:54:24,08:54:28,08:54:39,08:54:41,08:55:33,08:56:27,08:59:25,08:59:36"
冷煤,久發,2023/5/10,10:00:00,5071930203,10:22:22
冷煤,久發,2023/5/10,13:00:00,5071930203,13:08:19
冷煤,久發,2023/5/10,14:00:00,5071930203,"14:05:54,14:11:56,14:25:00"
冷煤,久發,2023/5/10,15:00:00,5071930203,"15:22:09,15:27:15,15:53:34"
冷煤,久發,2023/5/12,10:00:00,5071930203,10:36:25
冷煤,久發,2023/5/12,11:00:00,5071930203,11:24:34
冷煤,久發,2023/5/12,14:00:00,5071930203,14:58:22
冷煤,久發,2023/5/12,15:00:00,5071930203,15:39:35
冷煤,久發,2023/5/18,08:00:00,5071930203,08:47:30
冷煤,久發,2023/5/18,10:00:00,5071930203,10:37:13
